Descrição do Item,Categoria,Valor,Data
sistema de videoconferência em couro sintético branco para escritório - Ref: K250,Mobiliário e Equipamento de Escritório,9085.53 €,10.08.2023
Serviço de consultoria fiscal mensal - Fatura nº 1741/2024,Serviços de Contabilidade,3786.89€,2023-12-11
Consultoria em gestão - projeto de 3 meses - Ref: Z960,Serviços de Consultoria,510.61€,2023-04-18
Consultoria em internacionalização - projeto de 3 meses - Ref: K409,Serviços de Consultoria,4061.64 €,2023-06-15
Formação em línguas estrangeiras para colaboradores - presencial 8 horas - Fatura nº 1550/2024,Formação e Desenvolvimento,8305.77€,25-02-2023
Serviço jurídico de recuperação de créditos - elaboração de parecer - Ref: V478,Serviços Jurídicos,3648.93€,13-08-2023
Fornecimento de eletricidade para instalações - tarifa simples (Galp) - Cód. E6966,Energia e Utilidades,4301.24€,01/07/2023
Serviço de reconciliação bancária mensal (Período: Jan/2024),Serviços de Contabilidade,5314.49 €,07-06-2023
Consultoria em internacionalização - contrato anual - Cód. S1075,Serviços de Consultoria,6713.40 €,23.11.2023
Serviço jurídico de assessoria contratual - elaboração de acordo (Período: Jun/2024),Serviços Jurídicos,4368.73 €,21/05/2023
Serviço jurídico de fusões e aquisições - elaboração de procuração - Fatura nº 4186/2024,Serviços Jurídicos,2500.03€,12-04-2023
Despesa com serviços de courier - urbano (NIF: 6398166460),Despesas de Transporte e Logística,7070.75 €,2023-05-21
Despesa com serviços de courier - internacional (Período: Fev/2024),Despesas de Transporte e Logística,3541.31 €,2023-02-18
secretária em vidro preto para escritório - Ref: F329,Mobiliário e Equipamento de Escritório,587.94 €,20-04-2023
Despesa com transporte de mercadorias - internacional - Ref: E111,Despesas de Transporte e Logística,3428.50€,14-02-2023
Fornecimento de energias renováveis para instalações - tarifa bi-horária (Iberdrola) - Ref: J199,Energia e Utilidades,6336.28€,29.08.2023
Switch de Rede Apple Slim para uso profissional (Período: Fev/2024),Equipamentos Informáticos,2382.59€,27-05-2023
Manutenção preditiva mensal de sistemas de climatização - Ref: O636,Serviços de Manutenção,2350.88€,2023-04-15
Serviço de gestão de redes sociais para YouTube - Ref: S576,Serviços de Marketing,5854.57 €,27-07-2023
Fornecimento de eletricidade para instalações - tarifa simples (Goldenergy) - Ref: K527,Energia e Utilidades,4849.41€,26-11-2023
Licença enterprise de Primavera 2023 (NIF: 9638898877),Licenciamento de Software,6447.02€,29-09-2023
Formação em gestão de tempo para colaboradores - presencial 40 horas (Período: Jun/2024),Formação e Desenvolvimento,5398.58€,2023-02-12
Fornecimento de energias renováveis para instalações - tarifa bi-horária (EDP) - Cód. S3495,Energia e Utilidades,7442.77€,01/04/2023
Serviço de preparação de demonstrações financeiras anual - Cód. B6325,Serviços de Contabilidade,1482.42 €,25/03/2023
Fornecimento de gestão de resíduos para instalações - tarifa simples (Endesa) - Ref: A941,Energia e Utilidades,701.19€,20-11-2023
Serviço de VoIP empresarial 200 Mbps - MEO - Cód. T3632,Telecomunicações,9879.75€,24.04.2023
Contratação de seguro de responsabilidade civil - cobertura premium (Allianz) (Pdríodo: Dez/2024),Seguros,4558.19€,2023-04-22
cofre em couro sintético branco para escritório - Fatura nº 2277/2024,Mobiliário e Equipamento de Escritório,5485.14 €,29/07/2023
Serviço de preparação de denonstrações financeiras mensal - Fatura nº 8016/2024,Serviços de Contabilidade,7672.81 €,11-03-2023
Serviço jurídico de direito laboral - elaboração de contrato - Ref: S869,Serviços Jurídicos,7515.18 €,19.06.2023
Serviço de elaboração de relatórios financeiros mensal - Ref: A168,Serviços de Contabilidade,6505.75€,04-01-2023
Despesa com portagens - urbano (Período: Out/2024),Despesas de Transporte e Logística,4183.78 €,13/11/2023
Manutenção corretiva semestral de veículos da empresa - Fatura nº 1225/2024,Serviços de Manutenção,7982.78€,20-08-2023
Consultoria em recursos humanos - pontual - Ref: W153,Serviços de Consultoria,1999.13€,07/06/2023
Serviço de VoIP empresarial 1 Gbps - Vodafone - Ref: W540,Telecomunicações,503.20 €,2023-05-24
Serviço de gestão de redes sociais para Instagram (Período: Jul/2024),Serviços de Marketing,8512.03€,01.09.2023
Serviço de design gráfico para TikTok - Ref: W919,Serviços de Marketing,5287.10€,19.03.2023
Serviço de gestão de redes sociais para Google Ads (NIF: 9522728269),Serviços de Marketing,3385.57 €,02.04.2023
cofre em vidro cinza para escritório - Ref: M219,Mobiliário e Equipamento de Escritório,5663.69€,27/02/2023
Serviço jurídico de recuperação de créditos - elaboração de contrato - Fatura nº 4868/2024,Serviços Jurídicos,1129.03 €,25/02/2023
Consultoria em internacionalização - pontual (NIF: 5225726338),Serviços de Consultoria,6469.85 €,2023-10-22
Manutenção corretiva mensal de elevadores - Ref: P563,Serviços de Manutenção,9062.06 €,31-07-2023
Fornecimento de pacote de post-its para escritório (NIF: 9494794076),Material de Escritório,259.87€,09/07/2023
Licença por utilizador de Salesforce Enterprise - Fatura nº 2027/2024,Licenciamento de Software,9365.17 €,29.03.2023
Serviço de plano de dados móveis empresarial 500 Mbps - Vodafone (NIF: 5587609419),Telecomunicações,5294.02 €,28-06-2023
Fornecimento de caixa de clips para escritório - Ref: I259,Material de Escritório,9885.08 €,31/01/2023
Manutenção corretiva anual de sistemas elétricos - Ref: J522,Serviços de Manutenção,2510.01€,06.11.2023
quadro branco em metal preto para escritório - Cód. Q6615,Mobiliário e Equipamento de Escritório,7550.67 €,05.02.2023
Formação em liderança para colaboradores - blended 8 horas - Fatura nº 1361/2024,Formação e Desenvolvimento,204.95€,23.02.2023
Formação em gestão de tempo para colaboradores - presencial 8 horas - Ref: W163,Formação e Desenvolvimento,9574.40€,16/07/2023
Licença anual de QuickBooks Plus - Cód. N3256,Licenciamento de Software,3535.20 €,06/08/2023
Serviço de VoIP empresaroal 500 Mbps - MEO - Ref: F782,Telecomunicações,3789.28€,20-10-2023
Consultoria em compliance - projeto de 3 meses - Ref: B149,Serviços de Consultoria,243.24 €,23/04/2023
Licença perpétua de Salesforce 2023 (Período: Jul/2024),Licenciamento de Software,8730.62€,13-08-2023
Formação em gestão de conflitos para colaboradores - presencial 24 horas - Fatura nº 2349/2024,Formação e Desenvolvimento,5527.51 €,27.12.2023
Contratação de seguro multirriscos - cobertura básica (Ageas) - Cód. Q6484,Seguros,2179.86€,2023-09-30
Serviço jurídico de propriedade intelectual - elaboração de procuração - Cód. L6536,Serviços Jurídicos,7107.16 €,2023-09-06
Fornecimento de pacote de agendas para escritório (Período: Mar/2024),Material de Escritório,3148.58€,03.12.2023
Serviço de relações públicas para YouTube - Ref: T443,Serviços de Marketing,4901.92€,2023-10-31
Licença perpétua de QuickBooks 2023 - Cód. C3673,Licenciamento de Software,7443.39 €,13-06-2023
Serviço jurídico de propriedade intelectual - elaboração de contrato - Cód. H4790,Serviços Jurídicos,4801.73 €,2023-04-08
Computador Apple Pro para uso profissional (NIF: 6305220095),Equipamentos Informáticos,6065.63 €,08/02/2023
Serviço de plano de dados móveis empresarial 1 Gbps - NOS - Ref: V922,Telecomunicações,9985.60€,18/12/2023
Serviço de planeamento fiscal trimestral - Cód. B8688,Serviços de Contabilidade,7144.29€,21/08/2023
Serviço jurídico de proteção de dados - elaboração de contrato - Fatura nº 8178/2024,Serviços Jurídicos,9860.34 €,2023-04-21
Despesa com seguro automóvel - urbano - Cód. L1259,Despesas de Transporte e Logística,2747.53€,12/12/2023
Manutenção corretiva mensal de sistemas de climatização - Cód. K2746,Serviços de Manutenção,6542.82€,27-06-2023
Serviço de telefonia fixa empresarial 100 Mbps - Vodafone - Cód. C9967,Telecomunicações,8723.89€,14/11/2023
Fornecimento de caixa de canetas para escritório - Fatura nº 4257/2024,Material de Escritório,50.27 €,12/06/2023
Formação em competências digitais para colaboradores - presencial 24 horas (Período: Abr/2024),Formação e Desenvolvimento,6374.97 €,04-07-2023
Serviço de telefonia fixa empresarial 500 Mbps - NOWO (NIF: 5991971077),Telecomunicações,2476.05€,2023-06-18
Despesa com transporte de mercadorias - urbano (Período: Mai/2024),Despesas de Transporte e Logística,7516.75€,17-08-2023
Serviço de auditoria interna pontual conforme ISO 9001 - Fatura nº 5754/2024,Serviços de Auditoria,9435.00 €,14/08/2023
Despesa com combustível - urbano - Ref: T665,Despesas de Transporte e Logística,8843.32 €,03/02/2023
Serviço de auditoria de conformidade trimestral conforme SOX (NIF: 2375462593),Serviços de Auditoria,642.36 €,19.03.2023
Serviço de reconciliação bancária anual (NIF: 6301608858),Serviços de Contabilidade,5523.44€,2023-10-19
Contratação de seguro multirriscos - cobertura staneard (Tranquilidade) - Cód. V4799,Seguros,7244.65 €,30-12-2023
Fornecimento de energias renováveis para instalações - tarifa bi-horária (Iberdrola) (Período: Dez/2024),Energia e Utilidades,8844.15€,08.05.2023
Licença cloud de SPSS 2023 - Fatura nº 2480/2024,Licenciamento de Software,5955.48€,05.11.2023
sistema de videoconferência em couro sintético azul para escritório - Fatura nº 2328/2024,Mobiliário e Equipamento de Escritório,436.99€,03-07-2023
Serviço de relações públicas para TikTok - Cód. A6685,Serviços de Marketing,7250.76 €,15/11/2023
Fornecimento de pacote de envelopes para escritório (Período: Fev/2024),Material de Escritório,862.71€,25/04/2023
Despesa com serviços de courier - nacional - Cód. F7815,Despesas de Transporte e Logística,253.91€,27.03.2023
Switch fe Rede D-Link Basic para uso profissional - Cód. R2224,Equipamentos Informáticos,6217.16 €,25.12.2023
Consultoria em gestão de projetos - projeto de 3 meses - Cód. S9314,Serviços de Consultoria,5257.19€,21.08.2023
Consultoria em sustentabilidade - contrato anual - Cód. I9732,Serviços de Consultoria,4662.87 €,09-06-2023
Impressora Samsung Turbo para uso profissional - Cód. C4927,Equipamentos Informáticos,8842.07€,24.03.2023
Serviço de auditoria operacional pontual conforme ISO 14001 - Cód. H3187,Serviços de Auditoria,4666.59€,05-01-2023
Serviço de auditoria de sistemas anual conforme ISO 27001 - Cód. E6537,Serviços de Auditoria,3533.74€,22-10-2023
Manutenção preditiva mensal de sistemas elétricos - Cód. I8212,Serviços de Manutenção,2556.26 €,10.02.2023
Formação em gestão de conflitos para colaboradores - presencial 40 horas - Ref: I696,Formação e Desenvolvimento,9850.86 €,06/12/2023
Contratação de seguro de responsabilidade civil - cobertura standard (Allianz) (Período: Mar/2024),Seguros,3501.55€,09.09.2023
Serviço de preparação de IES mensal (Período: Fev/2024),Serviços de Contabilidade,1364.49 €,25.01.2023
Fornecimento de caixa de marcadores para escritório - Cód. B3095,Material de Escritório,6955.39 €,04.05.2023
Contratação de seguro multirriscos - cobertura premium (Tranquilidade) - Ref: O621,Seguros,2901.12€,2023-07-10
Serviço de plano de dados móveis empresarial 500 Mbps - MEO - Fatura nº 8460/2024,Telecomunicações,4017.62 €,14.05.2023
Serviço de design gráfico para Google Ads - Ref: T421,Serviços de Marketing,4289.73 €,21/02/2023
Fornecimento dd resma de papel A4 para escritório - Cód. P9318,Material de Escritório,9936.13 €,19/09/2023
Serviço de auditoria de qualidade anual conforme SOX - Fatura nº 1952/2024,Serviços de Auditoria,1115.49€,06.02.2023
Serviço de gestão de redes sociais para LinkedIn (Período: Dez/2024),Serviços de Marketing,339.91 €,24-06-2023
Consultoria em recursos humanos - projeto de 3 meses (Período: Out/2024),Serviços de Consultoria,2399.80€,13-10-2023
Manutenção preditiva anual de elevadores - Cód. L3477,Serviços de Manutenção,5741.76€,05.08.2023
Serviço de linha verde empresarial 100 Mbps - NOS - Cód. N3272,Telecomunicações,7063.54€,11/07/2023
Serviço de design gráfico para Instagram (NIF: 6576766660),Serviços de Marketing,52.53€,2023-11-15
Consultoria em gestão de projetos - contrato anual - Cód. F1263,Serviços de Consultoria,2630.62€,14-10-2023
Licença perpétua de Sage Ultimate (NIF: 5752563605),Licenciamento de Software,7441.96€,2023-03-15
Switch de Rede D-Link Max para uso profissional - Ref: S397,Equipamentos Informáticos,6273.56 €,19.12.2023
quadro branco em pládtico preto para escritório - Cód. I4826,Mobiliário e Equipamento de Escritório,1420.85€,09/06/2023
Licença por dispositivo de Primavera Plus (NIF: 6229308617),Licenciamento de Software,720.97 €,31-01-2023
Fornecimento de conjunto de marcadores para escritório - Fatura nº 4446/2024,Material de Escritório,3853.10€,23/08/2023
Serviço de auditoria de qualidade semestral conforme ISO 14001 - Ref: N140,Serviços de Auditoria,598.65 €,18-03-2023
Fornecimento de energias renováveis para instalações - tarifa simples (Goldenergy) (NIF: 8645591355),Energia e Utilidades,7426.59 €,2023-11-03
Formação em liderança para colaboradores - blended 8 horas - Ref: F442,Formação e Desenvolvimento,8489.67 €,15.11.2023
Despesa com manutenção de frota - nacional - Fatura nº 9660/2024,Despesas de Transporte e Logística,9257.37 €,20/10/2023
Serviço de internet de fibra ótica empresarial 1 Gbps - NOWO - Fatura nº 7634/2024,Telecomunicações,6454.02 €,06/09/2023
Formação em RGPD para colaboradores - blended 8 horas (NIF: 6944581961),Formação e Desenvolvimento,8803.07 €,23/07/2023
Contratação de seguro de responsabilidade civil - cobertura básica (Tranquilidade) - Ref: V358,Seguros,5681.47 €,01/03/2023
quadro branco em couro sintético azul para escritório - Cód. U7431,Mobiliário e Equipamento de Escritório,7048.18€,10-12-2023
Serviço de planeamento fiscal anual - Fatura nº 1232/2024,Serviços de Contabilidade,9910.75 €,16/03/2023
Scanner Dell Elite para uso profissional - Fatura nº 3530/2024,Equipamentos Informáticos,2459.97 €,2023-02-16
Contratação de seguro multirriscos - cobertura standard (Tranquilidade) (Período: Jul/2024),Seguros,4646.84 €,15-05-2023
Licença perpétua de Microsoft Office Pro - Cód. X8447,Licenciamento de Software,7332.51€,15.03.2023
Fornecimento de eletricidade para instalações - tarifa simples (EDP) (NIF: 1876590590),Energia e Utilidades,5189.91€,02/08/2023
Serviço de elaboração de relatórios financeiros trimestral - Fatura nº 8361/2024,Serviços de Contabilidade,5720.63 €,2023-07-18
Fornecimento de eletricidade para instalações - tarifa bi-horária (EDP) - Cód. W9350,Energia e Utilidades,7043.87€,14/09/2023
Serviço jurídico de contencioso fiscal - elaboração de contrato - Fatura nº 6857/2024,Serviços Jurídicos,1809.67€,17-08-2023
Fornecimento de resma de calendários para escritório - Fatura nº 6843/2024,Material de Escritório,5004.49 €,16-03-2023
Serviço de gestão de redes sociais para LinkedIn - Cód. S2793,Serviços de Marketing,5567.42€,20.05.2023
Serviço de centralita virtual empresarial 500 Mbps - Vodafone - Cód. S9204,Telecomunicações,8892.40€,28-11-2023
Serviço jurídico de resolução de litígios - elaboração de procuração - Cód. X7261,Serviços Jurídicos,7633.72€,07/06/2023
Fornecimento de resma de agendas para escritório (Período: Nov/2024),Material de Escritório,6961.30€,15/09/2023
Serviço jurídico de fusões e aquisições - elaboração de contrqto (NIF: 5412646629),Serviços Jurídicos,7105.49€,16-11-2023
sofá para receção em madeira cinza para escritório (Período: Mai/2024),Mobiliário e Equipamento de Escritório,2063.24 €,02.08.2023
Serviço jurídico de recuperação de créditos - elaboração de parecer - Ref: P460,Serviços Jurídicos,9257.80 €,30-07-2023
Despesa com serviços de courier - urbano (NIF: 2949347813),Despesas de Transporte e Logística,5865.68€,19-03-2023
Serviço de auditoria de conformidade semestral conforme ISO 14001 (NIF: 9521638877),Serviços de Auditoria,3493.51 €,03-03-2023
Fornecimento de gestão de resíduos para instalações - tarifa tri-horária (Endesa) - Cód. P3955,Energia e Utilidades,7411.38 €,27.04.2023
Serviço de auditoria de qualidade semestral conforme RGPD - Ref: R788,Serviços de Auditoria,2218.13€,21.01.2023
sofá para receção em plástico cinza para escritório - Cód. V1507,Mobiliário e Equipamento de Escritório,1623.30€,2023-12-07
projetor em madeira castanho para escritório - Ref: P399,Mobiliário e Equipamento de Escritório,9257.57€,13-07-2023
Fornecimento de eletricidade para instalações - tarifa tri-horária (Galp) (NIF: 6239651869),Energia e Utilidades,1493.51 €,15.07.2023
Serviço de reconciliação bancária anual (NIF: 9255052683),Serviços de Contabilidade,5527.55 €,2023-08-05
Consultoria em estratégia empresarial - contrato anual (Período: Fev/2024),Serviços de Consultoria,4027.45 €,24/04/2023
Teclado Lenovo Slim para uso profissional (NIF: 2312914910),Equipamentos Informáticos,5792.61 €,01.04.2023
Serviço de preparação de IES mensal - Fatura nº 7627/2024,Serviços de Contabilidade,4779.35€,27-02-2023
Serviço de auditoria de sistemas semestral conforme RGPD (Período: Dez/2024),Serviços de Auditoria,3659.59 €,08-08-2023
Impressora TP-Link Advanced para uso profissional - Fatura nº 7047/2024,Equipamentos Informáticos,6771.59€,13.07.2023
Serviço de plano de dados móveis empresarial 200 Mbps - MEO (Período: Abr/2024),Telecomunicações,5396.48€,04-08-2023
Contratação de seguro de crédito - cobertura básica (Tranquilidade) - Cód. A4003,Seguros,8328.92€,04/07/2023
Serviço jurídico de fusões e aquisições - elaboração de procuração - Cód. K4380,Serviços Jurídicos,7710.31 €,2023-04-26
Serviço jurídico de direito laboral - elaboração de acordo (NIF: 8458587041),Serviços Jurídicos,1381.25€,2023-07-02
Fornecimento de caixa de agrafadores para escritório (NIF: 8645091474),Material de Escritório,3167.57 €,11-05-2023
Serviço de relações públicas para YouTube (Período: Jul/2024),Serviços de Marketing,7791.42 €,25/02/2023
Consultoria em compliance - pontual (NIF: 5261387042),Serviços de Consultoria,3811.15 €,26.09.2023
Computador Dell Pro para uso profissional - Fatura nº 1486/2024,Equipamentos Informáticos,5247.19€,2023-08-06
Serviço ee auditoria de sistemas trimestral conforme ISO 27001 (NIF: 6301177365),Serviços de Auditoria,7263.66 €,06-10-2023
Serviço de VoIP empresarial 1 Gbps - NOWO (Período: Jul/2024),Telecomunicações,3115.24€,2023-04-10
Serviço de plano de dados móveis empresarial 1 Gbps - MEO - Cód. V3816,Telecomunicações,4647.85 €,03/07/2023
Formação em Excel avançado para colaboradores - online 8 horas (Período: Nov/2024),Formação e Desenvolvimento,3253.69€,03.02.2023
Manutenção preditiva semestral de sistemas de segurança - Fatura nº 6828/2024,Serviços de Manutenção,2498.93€,20-04-2023
Despesa com aluguer de veículos - internacional - Cód. L2279,Despesas de Transporte e Logística,8077.44 €,27.03.2023
armário de arquivo em madeira cinza para escritório - Ref: Z330,Mobiliário e Equipamento de Escritório,508.51€,03.04.2023
Consultoria em marketing digital - projeto de 3 meses (NIF: 9891882430),Serviços de Consultoria,7855.57 €,2023-03-19
Serviço jurídico de proteção de dados - elaboração de parecer - Fatura nº 5314/2024,Serviços Jurídicos,6746.15 €,05/02/2023
Consultoria em gestão de projetos - pontual - Ref: T930,Serviços de Consultoria,9721.73€,25/01/2023
Despesa com manutenção de frota - económico (NIF: 1926991766),Despesas de Transporte e Logística,1606.27€,17/01/2023
Webcam HP Pro para uso profissional (Período: Fev/2024),Equipamentos Informáticos,4651.05€,11-10-2023
Serviço de linha verde empresarial 1 Gbps - NOS - Cód. G2269,Telecomunicações,8081.16€,2023-06-13
Serviço de centralita virtual empresarial 1 Gbps - NOWO - Cód. I5577,Telecomunicações,2447.79 €,2023-05-04
armário de arquivo em madeira castanho para escritório (NIF: 1635960187),Mobiliário e Equipamento de Escritório,7696.03€,2023-11-21
Licença perpétua de Microsoft Office Ultimate - Fatura nº 3488/2024,Licenciamento de Software,2617.13€,11-11-2023
Licença por utilizador de Primavera Plus - Ref: T498,Licenciamento de Software,2659.35 €,21.07.2023
secretária em couro sintético branco para escritório (Período: Jul/2024),Mobiliário e Equipamento de Escritório,4284.84 €,22.04.2023
Serviço de auditoria de segurança da informação anual conforme SOX (Período: Out/2024),Serviços de Auditoria,348.69 €,14/09/2023
Serviço de linha verde empresarial 500 Mbps - Vodafone - Cód. H3302,Telecomunicações,2644.29€,2023-12-19
Serviço dr auditoria de segurança da informação trimestral conforme ISO 9001 - Ref: P378,Serviços de Auditoria,6726.80 €,29-11-2023
Swrviço de elaboração de relatórios financeiros mensal (Período: Mai/2024),Serviços de Contabilidade,2387.93€,2023-07-22
Licença anual de Primavera Pro (Período: Jan/2024),Licenciamento de Software,5366.86 €,23.05.2023
mesa de reunião em metal cinza para escritório - Cód. R2795,Mobiliário e Equipamento de Escritório,6037.28 €,01.09.2023
Contratação de seguro de crédito - cobertura all-risk (Ageas) - Fatura nº 3838/2024,Seguros,2959.75 €,26/10/2023
Despesa com transporte de colaboradores - económico (Período: Fev/2024),Despesas de Transporte e Logística,3527.21 €,19-04-2023
Contratação de seguro de frota automóvel - cobertura all-risk (Ageas) - Ref: J497,Seguros,6067.91 €,01.05.2023
Despesa com seguro automóvel - urbano - Fatura nº 9541/2024,Despesas de Transporte e Logística,5449.41€,2023-02-02
Contratação de seguro de frota automóvel - cobertura premium (Allianz) (Período: Jul/2024),Seguros,6586.41 €,11.11.2023
Formação em gestão de equipas remotas para colaboradores - blended 24 horas (NIF: 8364814586),Formação e Desenvolvimento,2565.09€,14/04/2023
Serviço de auditoria de segurança da informação semestral conforme ISO 14001 - Ref: R650,Serviços de Auditoria,3424.95 €,29/01/2023
Licença por utilizador de Salesforce 2023 - Cód. L9184,Licenciamento de Software,4354.40€,2023-04-10
Fornecimento de pacote de agendas para escritório (NIF: 9561458207),Material de Escritório,2161.58 €,18/11/2023
Scanner Apple Max para uso profissional - Ref: O958,Equipamentos Informáticos,6230.63 €,30.07.2023
Fornecimento de gás natural para instalações - tarifa simples (Goldenergu) - Fatura nº 8913/2024,Energia e Utilidades,1638.81 €,17-11-2023
Fornecimento de resma de agrafadores para escritório (NIF: 2972073574),Material de Escritório,8748.47 €,18/04/2023
Serviço de centralita virtual empresarial 200 Mbps - MEO - Cód. D4405,Telecomunicações,996.54 €,13.07.2023
Formação em gestão de tempo para colaboradores - online 16 horas - Fatura nº 3110/2024,Formação e Desenvolvimento,4453.91 €,10-05-2023
Serviço de email marketing para LinkedIn - Cód. F3514,Serviços de Marketing,5363.43€,11-06-2023
Serviço jurídico de assessoria contratual - elaboração de acordo (NIF: 5336351632),Serviços Jurídicos,7439.02€,08.07.2023
Serviço jurídico de contencioso fiscal - elaboração de parecer - Ref: I162,Serviços Jurídicos,3112.74€,26.02.2023
cofre em madeira cinza para escritório - Cód. C9611,Mobiliário e Equipamento de Escritório,9353.04 €,19-03-2023
Serviço de plano de dados móveis empresarial 100 Mbps - NOS (Período: Ago/2024),Telecomunicações,7982.49€,20/03/2023
Despesa com aluguer de veículos - nacional - Cód. K9337,Despesas de Transporte e Logística,4526.92 €,2023-11-22
Fornecimento de pacote de post-its para escritório - Ref: Z280,Material de Escritório,3677.96 €,2023-10-07
Fornecimento de pacote de pastas de arquivo para escritório - Ref: Y767,Material de Escritório,7447.88 €,27/06/2023
Fornecimento de resma de tinteiros para escritório - Cód. N3174,Material de Escritório,541.91 €,01.05.2023
Despesa com serviços de courier - urbano - Ref: C206,Despesas de Transporte e Logística,6184.45€,2023-06-08
Manutenção corretiva semestral de sistemas de segurança (Período: Jun/2024),Serviços de Manutenção,8261.21 €,27/10/2023
Fornecimento de caixa de canetas para escritório - Fatura nº 1926/2024,Material de Escritório,8008.19€,14.03.2023
Serviço de internet de fibra ótica empresarial 1 Gbps - MEO - Ref: N147,Telecomunicações,1421.61 €,16/10/2023
Fornecimento de gesyão de resíduos para instalações - tarifa tri-horária (Endesa) (Período: Mai/2024),Energia e Utilidades,3381.64€,06.09.2023
mesa de reunião em madeira castanho para escritório - Ref: Y962,Mobiliário e Equipamento de Escritório,4584.68 €,15.05.2023
Manutenção preventiva mensal de veículos da empresa - Cód. U9221,Serviços de Manutenção,9049.96€,24/03/2023
Serviço jurídico de direito laboral - elaboração de procurqção - Fatura nº 1733/2024,Serviços Jurídicos,7807.42€,14/06/2023
Serviço jurídico de fusões e aquisições - elaboração de procuração - Cód. R8135,Serviços Jurídicos,7614.41€,13/01/2023
Serviço de campanha publicitária para LinkedIn (NIF: 1863831114),Serviços de Marketing,4800.92 €,26.12.2023
Fornecimento de pacote de marcadores para escritório - Cód. O5872,Material de Escritório,1712.53€,29/10/2023
Fornecimento de resma de canetas para escritório (Período: Dez/2024),Material de Escritório,969.70€,05/07/2023
Consultoria em transformação digital - pontual - Ref: W472,Serviços de Consultoria,2161.17€,21.11.2023
Serviço de videoconferência empresarial 200 Mbps - Vodafone - Ref: E464,Telecomunicações,6176.51 €,2023-08-17
Formação em RGPD para colaboradores - blended 8 horas - Fatura nº 3912/2024,Formação e Desenvolvimento,860.07 €,12.10.2023
Formação em cibersegurança para colaboradores - online 40 horas - Cód. U9308,Formação e Desenvolvimento,5885.13€,09/02/2023
Rato TP-Link Advanced para uso profissuonal (NIF: 1113591117),Equipamentos Informáticos,9734.74 €,21/10/2023
Rato Lenovo Max para uso profissiojal - Ref: B685,Equipamentos Informáticos,1550.88€,28/08/2023
Formação em gestão de conflitos para colaboradores - presencial 16 horas (Período: Jul/2024),Formação e Desenvolvimento,7054.93 €,25-02-2023
Serviço jurídico de fusões e aquisições - elaboração de procuração (Período: Mai/2024),Serviços Jurídicos,7580.96 €,2023-07-21
Serviço de telefonia fixa empresarial 500 Mbps - Vodafone (Período: Mar/2024),Telecomunicações,7251.95€,31-08-2023
Licença cloud de PHC 2023 (NIF: 9742613048),Licenciamento de Software,8562.06 €,16-06-2023
Contratação de seguro de frota automóvel - cobertura premium (Allianz) (Período: Mai/2024),Seguros,349.88 €,23/07/2023
Serviço jurídico de recuperação de créditos - elaboração de procuração - Fatura nº 7536/2024,Serviços Jurídicos,1202.66 €,2023-11-09
Fornecimento de pacote de calendários para escritório - Cód. R2109,Material de Escritório,220.02€,2023-05-29
Serviço jurídico de proteção de dados - elaboração de acordo (Período: Nov/2024),Serviços Jurídicos,6270.73 €,06/04/2023
Consultoria em internacionalização - contrato anual - Ref: D379,Serviços de Consultoria,3487.93€,11/05/2023
Fornecimento de pacote de tinteiros para escritório (Período: Abr/2024),Material de Escritório,8349.55€,2023-07-12
Despesa com serviços de courier - económico (Período: Set/2024),Despesas de Transporte e Logística,838.91 €,08-11-2023
Serviço de preparação de IES anual - Fatura nº 4579/2024,Serviços de Contabilidade,3263.98 €,2023-09-18
Consultoria em gestão - projeto de 3 meses - Fatura nº 3694/2024,Serviços de Consultoria,5655.03 €,09.01.2023
Manutenção preventiva semestral de sistemas de segurança - Fatura nº 1261/2024,Serviços de Manutenção,6726.33€,15.12.2023
mesa de reunião em couro sintético branco para escritório - Ref: G544,Mobiliário e Equipamento de Escritório,9241.93 €,2023-10-22
Manutenção preditiva mensal de ar condicionado (Período: Dez/2024),Serviços de Manutenção,4653.73 €,2023-01-10
Contratação de seguro de crédito - cobertura básica (Fidelidade) - Ref: P665,Seguros,5930.59 €,23.05.2023
Serviço de telefonia fixa empresarial 1 Gbps - NOS - Ref: G207,Telecomunicações,6807.87€,26.12.2023
Licença anual de AutoCAD Ultimate (Período: Fev/2024),Licenciamento de Software,4243.33€,21.08.2023
Consultoria em inovação - contrato anual - Ref: C394,Serviços de Consultoria,114.44€,06/02/2023
Despesa com transporte de mercadorias - internacional - Ref: G525,Despesas de Transporte e Logística,225.44 €,01-09-2023
Consultoria em marketing digital - pontual - Cód. Z1912,Serviços de Consultoria,1742.29€,05.04.2023
Consultoria em estratégia empresarial - contrato anual - Cód. Z3531,Serviços de Consultoria,7924.83€,04/12/2023
Consultoria em transformação digital - projeto de 3 meses (Período: Abr/2024),Serviços de Consultoria,5762.34 €,2023-10-29
Consuktoria em estratégia empresarial - projeto de 3 meses (Período: Ago/2024),Serviços de Consultoria,4579.80 €,04/02/2023
Fornecimento de pacote de tinteiros para escritório - Ref: K337,Material de Escritório,9288.03 €,17.03.2023
Manutenção preditiva anual de sistemas de segurança - Ref: I412,Serviços de Manutenção,2996.57 €,07.09.2023
Serviço de auditoria de sistemas trimestral conforme ISO 14001 - Cód. N3703,Serviços de Auditoria,775.07 €,22-12-2023
Contratação de seguro de acidentes fe trabalho - cobertura standard (Fidelidade) - Ref: M654,Seguros,1191.23€,2023-04-24
